gid;nom;arrete_pref_numero;xy_precis;id_adr;adr_num;adr_voie;com_cp;com_insee;com_nom;lat_coor1;long_coor1;structure_siren;structure_type;structure_rais;structure_num;structure_voie;structure_cp;structure_insee;structure_com;_userid_creation;_userid_modification;_edit_datemaj;lieu_accessibilite;rdv_lundi;rdv_mardi;rdv_mercredi;rdv_jeudi;rdv_vendredi;rdv_samedi;rdv_dimanche;rdv;date_fermeture;date_ouverture;rdv_site_web;rdv_tel;rdv_tel2;rdv_modalites;rdv_consultation_prevaccination;centre_svi_repondeur;centre_fermeture;reserve_professionels_sante;centre_type
2651;Centre de vaccination - Soulac sur Mer - Palais des Congrès ;;0.99999972033614;33514_3fix8w;1;rue El Burgo de Osma;33780;33514;Soulac-sur-Mer;45.5127;-1.12883;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;21419;21419;2021-05-31 10:14:00.464891;;09:00-13:00/15:00-19:00;09:00-13:00/15:00-19:00;09:00-13:00/15:00-19:00;09:00-13:00/15:00-19:00;09:00-13:00/15:00-19:00;09:00-13:00;fermé;t;;2021-06-07;;;;;t;;t;f;
1440;MONTFORT SUR MEU-COSEC;;0.99999951550885;35188_0610_00001;1;Route d’Iffendic;35160;35188;Montfort-sur-Meu;48.138;-1.96361;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;DES COLOMBES PL;35000;35238;RENNES;18078;18;2021-05-31 20:00:03.163693;;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;fermé;fermé;;;2021-02-22;https://partners.doctolib.fr/centre-de-sante/montfort-sur-meu/centre-de-vaccination-covid-19-de-broceliande?pid=practice-166461&enable_cookies_consent=1;+33805690821;;;;;;;{}
2630;SOS Médecin;;0.99999997317769;25056_2750_00020;20;Avenue de l’Île de France;25000;25056;Besançon;47.221;5.96605;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;22718;22718;2021-05-31 20:00:03.74718;;08:30-20:00;08:30-20:00;08:30-20:00;08:30-20:00;08:30-20:00;fermé;fermé;;2021-05-21;2021-05-17;https://partners.doctolib.fr/vaccination-covid-19/besancon/centre-de-vaccination-sos-medecin-besancon?pid=practice-187215&enable_cookies_consent=1;;;;;;t;;
741;CH BOURGANEUF;;0.9999999978091;23030_0890;;Place Tournois;23400;23030;Bourganeuf;45.9534;1.75069;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;13086;18103;2021-05-31 20:00:02.703414;;13:30-16:00;13:30-16:00;13:30-16:00;13:30-16:00;13:30-16:00;fermé;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-vaccinations-internationales/limousin/vaccination-covid-19-professionnels-de-sante?speciality_id=5494&pid=practice-163731&enable_cookies_consent=1;+33555515571;;;t;;;;"{""Séc. Civ. concourant""}"
416;POLYCLINIQUE INKERMANN;;0.99999991867105;79191_0070_00084;84;Route d'Aiffres;79000;79191;Niort;46.3155;-0.452071;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;51;18113;2021-05-31 20:00:02.496458;;09:30-12:30/13:30-17:30;09:30-12:30/13:30-17:30;09:30-12:30/13:30-17:30;09:30-12:30/13:30-17:30;09:30-12:30/13:30-17:30;fermé;fermé;t;;2021-01-14;https://partners.doctolib.fr/centre-de-sante/niort/vaccination-covid-19-inkermann?speciality_id=5494&enable_cookies_consent=1;+33627620475;;;t;f;f;f;{}
541;CV LE FOSSAT (Moderna Pfizer);;0.99999994665402;09124_v0asq5_00423;;centre multimédia avenue de Versailles;09130;09124;Le Fossat;43.1751;1.40577;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18081;18081;2021-05-31 20:00:02.579526;;09:00-15:10;09:00-15:10;09:00-15:10;09:00-15:30;09:00-15:10;09:00-15:30;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/fossat/centre-de-vaccination-covid-du-fossat?speciality_id=5494&enable_cookies_consent=1;+33800541919;;;;;;;{}
936;Centre de vaccination Clinique Toulouse Lautrec;3 mars 2021;0.99999965877737;81004_1846_00002;2;Rue Jacques Monod;81000;81004;Albi;43.9284;2.1801;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18204;20101;2021-05-31 20:00:02.827317;oui;09:00-18:00;09:00-18:00;09:00-18:00;09:00-18:00;09:00-18:00;09:00-18:00;fermé;t;;2021-01-18;https://partners.doctolib.fr/hopital-public/tarn/chic-castres-mazamet-centre-de-vaccination?speciality_id=5494&pid=practice-164870&enable_cookies_consent=1;+33800541919;;;t;;;;{}
2215;Grand centre LE MANS ;;0.99999792487314;72181_3958_00077;;Avenue du Parc des Expositions;72100;72181;Le Mans;47.9569;0.203398;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;10695;10695;2021-05-31 20:00:03.514672;;09h-13h/14h-20h;09h-13h/14h-20h;09h-13h/14h-20h;09h-13h/14h-20h;09h-13h/14h-20h;09h-13h/14h-20h;09h-13h/14h-20h;t;;2021-04-20;https://partners.doctolib.fr/centre-de-sante/le-mans/centre-de-vaccination-la-rotonde-du-centre-des-exposition-du-mans?pid=practice-182151&enable_cookies_consent=1;+33800720800;;Grand centre;;;f;;"{""Grand centre""}"
209;Centre de vaccination Sélestat -Les Tanzmatten ;;0.99999977083676;67462_2280_00010;10;Quai des Tanneurs;67600;67462;Sélestat;48.2566;7.45774;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13532;22327;2021-05-31 20:00:02.381804;;;;9h-13h/14h-18h;;;9h-13h/14h-18h;fermé;t;;2021-03-01;https://partners.doctolib.fr/centre-de-vaccinations-internationales/selestat/centre-de-vaccination-covid-19-ville-de-selestat?speciality_id=5494&enable_cookies_consent=1;09 70 81 81 61;;;;;f;;"{""Grand centre""}"
2652;Centre de vaccination d'Epinay-sur-Seine - Espace culturel;;0.99999999888648;93031_5110_00007;8;Rue Lacépède;93800;93031;Épinay-sur-Seine;48.9542;2.3112;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18279;18279;2021-05-31 11:11:52.178527;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;;;;;;t;;t;f;
1298;Centre de Vaccination - MAISON DE SANTE AMOU;;0.99999991069444;40002_0040_00024;24;Avenue de la Digue - Salle De l'Etoile;40330;40002;Amou;43.592;-0.745461;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;18107;18107;2021-02-05 09:06:15.124271;; 08:30 - 12:30 / 13:30 - 17:30 ; 08:30 - 12:30 / 13:30 - 17:30 ; 08:30 - 12:30 / 13:30 - 17:30 ; 08:30 - 12:30 / 13:30 - 17:30 ; 08:30 - 12:30 / 13:30 - 17:30 ;fermé;fermé;t;;2021-02-02;https://www.maiia.com/centre-de-vaccination/40330-amou/centre-de-vaccination---maison-de-sante-amou;;;;t;;;;"{""Séc. Civ. concourant""}"
1004;Centre de vaccination - Espace culturel du Parc;;0.99999991986447;93029_6192_00133;120;rue Sadi Carnot;93700;93029;Drancy;48.927;2.43888;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18279;18279;2021-05-31 20:00:02.878035;;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/drancy/centre-de-vaccination-covid-drancy-espace-culturel-du-parc?speciality_id=5494&enable_cookies_consent=1;06 32 82 33 22;;;t;;f;f;{}
1008;Centre de vaccination de Mulhouse;;0.99999968429252;68224_v16d08;16;boulevard Charles Stoessel;68200;68224;Mulhouse;47.7419;7.32298;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;15;18318;2021-05-31 20:00:02.881408;;non précisé;non précisé;non précisé;non précisé;non précisé;non précisé;non précisé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/mulhouse/centre-de-vaccination-de-mulhouse?pid=practice-164975?speciality_id=5494&enable_cookies_consent=1;+33970818161;;;;;;;{}
1225;Centre de vaccination UGECAM d'Illkirch-Graffenstaden ;;0.99999892955108;67218_0013_00001;10;Avenue Achille Baumann;67400;67218;Illkirch-Graffenstaden;48.5379;7.72465;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13943;11476;2021-05-31 20:00:03.04026;;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;fermé;t;;2021-01-25;https://partners.doctolib.fr/centre-de-sante/illkirch-graffenstaden/centre-de-vaccination-covid-d-illkirch?speciality_id=5494&enable_cookies_consent=1;+33388668000;;;;;f;;{}
1242;Centre de Vaccination - MESLAY DU MAINE - Salle Socioculturelle;2021-20-04-DSC;0.99999998149566;53152_0620_00011;16;Place de la Poste;53170;53152;Meslay-du-Maine;47.9513;-0.55258;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;10695;10695;2021-05-31 20:00:03.054036;;14h-18h;14h-18h;14h-18h;14h-18h;14h-18h;fermé;fermé;t;;2021-01-25;https://partners.doctolib.fr/etablissement-de-prevention/mayenne/centres-de-vaccination-de-la-mayenne-mayenne?pid=practice-164911&enable_cookies_consent=1;+33243535300;;;t;;f;;{}
1244;Centre de Vaccination - EVRON;;0.99999996530795;53097_1500_00013;;Avenue des Sports;53600;53097;Évron;48.1524;-0.403651;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;10695;362;2021-05-31 20:00:03.055719;;fermé;9h-13h / 14-17h30;9h-13h / 14-17h30;9h-13h / 14-17h30;fermé;fermé;fermé;t;;2021-01-26;https://partners.doctolib.fr/etablissement-de-prevention/mayenne/centres-de-vaccination-de-la-mayenne-mayenne?pid=practice-165417&enable_cookies_consent=1;+33243535300;;;t;;;;{}
1249;Centre de vaccination de Contres;;0.99999998885834;41059_0070_00006;8;Rue de la Gare;41700;41059;Le Controis-en-Sologne;47.4183;1.42616;130007842;8412Z;AGENCE REGIONALE DE SANTE DU CENTRE-VAL DE LOIRE;131;RUE DU FAUBOURG BANNIER;45000;45234;ORLEANS;18350;18192;2021-05-31 20:00:03.060167;;fermé;9h-13h et 14h-18h;fermé;14h-18h;14h-18h;fermé;fermé;t;;2021-02-08;https://partners.doctolib.fr/centre-de-sante/contres/centre-de-vaccination-covid-19-de-contres?pid=practice-166196&enable_cookies_consent=1;+33633548603;;;;;;;{}
1300;Centre de vaccination du Pays de Gex - Centre hospitalier du Pays de Gex;;0.99999999287234;01173_0561_00160;160;Rue Marc Panissod;01170;01173;Gex;46.3224;6.05794;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;18310;41;2021-05-31 20:00:03.086489;;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;fermé;fermé;t;;2021-01-28;https://partners.doctolib.fr/centre-de-sante/gex/centre-de-vaccination-pays-de-gex-agglo?pid=practice-168273&enable_cookies_consent=1;+33485292109;;;t;;;;{}
15;Grand centre de vaccination;;1;08105_4000_00022;;Rue de la Vieille Meuse;08000;08105;Charleville-Mézières;49.7567;4.71338;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;15;18576;2021-05-31 20:00:02.218936;;9:00-13:00/14:00-18:00;9:00-13:00/14:00-18:00;9:00-13:00/14:00-18:00;9:00-13:00/14:00-18:00;9:00-13:00/14:00-18:00;;;t;;2021-04-12;https://partners.doctolib.fr/hopital-public/charleville-mezieres/centre-hospitalier-intercommunal-nord-ardennes-charleville-fumay-sedan?pid=practice-171700&enable_cookies_consent=1;+33972760250 ;;;f;;f;;"{""Séc. Civ. concourant"",""Sécurité Civile""}"
124;CH de la Dracénie Draguignan (Réservé aux professionnels de santé libéraux);;0.99999935663636;83050_1760_01976;;Avenue Montferrat;83300;83050;Draguignan;43.5483;6.44499;130007982;8412Z;AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR;132;BD DE PARIS;13003;13203;MARSEILLE 3;10366;10366;2021-05-31 20:00:02.336609;;9h / 16h;9h / 16h;9h / 16h;9h / 16h;9h / 16h;;;t;;2021-01-12;https://partners.doctolib.fr/centre-de-sante/draguignan/centres-de-vaccination-de-draguignan?pid=practice-164181&enable_cookies_consent=1;+33494605626;;réservé aux professionnels de santé libéraux;f;;;t;"{""Sécurité Civile""}"
2349;Centre de vaccination de Tartas;;0.99999999065887;40313_0073_00015;28;Cours Saint Jacques;40400;40313;Tartas;43.8321;-0.807019;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;18107;18107;2021-05-31 20:00:03.586741;;08:30-12:30/13:30-17:30;08:30-12:30/13:30-17:30;08:30-12:30/13:30-17:30;08:30-12:30/13:30-17:30;08:30-12:30/13:30-17:30;fermé;fermé;t;;2021-04-06;https://partners.doctolib.fr/centre-de-sante/tartas/centre-de-vaccination-covid-19-tartas-annexe-morcenx-la-nouvelle?pid=practice-179373&enable_cookies_consent=1;0762657047;;;t;t;f;f;
1176;Centre de vaccination du Centre hospitalier de Givors;2021-10-0091;0.99999914914195;69091_d0gf2e_00009;9;Avenue du Professeur Fleming;69700;69091;Givors;45.5998;4.76553;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;11598;11598;2021-05-31 20:00:03.002921;;fermé;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;fermé;fermé;;;2021-01-20;https://partners.doctolib.fr/centre-de-sante/givors/centre-vaccination-covid-ch-de-givors?speciality_id=5494&enable_cookies_consent=1;+33423101010;;;;;f;;
17;CHU DE CAEN NORMANDIE;;0.99998112386247;14118_5972_00001;;avenue Côte de Nacre;14000;14118;Caen;49.2045;-0.357382;130007909;8412Z;AGENCE REGIONALE DE SANTE NORMANDIE;2;PL JEAN NOUZILLE;14000;14118;CAEN;11533;11533;2021-05-31 20:00:02.223398;;;;;;;;;t;;2021-01-06;https://partners.doctolib.fr/hopital-public/caen/chu-caen-vaccination-covid?speciality_id=5494&enable_cookies_consent=1;+33279461156;;;f;;;;
854;ST BRIEUC - Palais des congrés BREZILLET;;0.99999378896318;22215_1306;16;rue Pierre de Coubertin;22099;22278;Saint-Brieuc;48.4997;-2.7643;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;PL DES COLOMBES;35000;35238;RENNES;18078;18078;2021-04-30 15:00:01.561704;;8h30-12h30 / 13h30-17h30;8h30-12h30 / 13h30-17h30;8h30-12h30 / 13h30-17h30;8h30-12h30 / 13h30-17h30;8h30-12h30 / 13h30-17h30;8h30-12h30;fermé;;;2021-01-18;https://vaccination-covid.keldoc.com/centre-municipal-de-sante/st-brieuc-22000/robien-saint-brieuc?category=-1&cabinet=16618&specialty=144;+33257180060;;;;;f;;
1444;Centre de vaccination de Saint-Amour;;0.99999993370897;39475_1020_00013;15;Rue Sainte - Marie;39160;39475;Saint-Amour;46.4361;5.3439;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;DES SAVOIRS PL;21000;21231;DIJON;18177;18177;2021-05-31 20:00:03.166424;Oui;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;2021-06-27;2021-03-15;https://partners.doctolib.fr/centre-de-sante/dole/ars-de-bourgogne-franche-comte?pid=practice-171876&enable_cookies_consent=1;+33384868600;;;t;f;f;f;
975;Espace culturel et sportif FLEURANCE;;0.99999974800135;32132_0768_00020;;Avenue Pierre de Coubertin;32500;32132;Fleurance;43.8523;0.664874;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;17568;3490;2021-05-31 20:00:02.85704;oui;;;;;;;;t;;2021-01-19;https://partners.doctolib.fr/centre-de-sante/mirande/centre-de-vaccination-covid-19-cd-32-gers?pid=practice-165026&enable_cookies_consent=1;+33800541919;+33800723232;Réservé aux plus de 60 ans;t;;f;;
943;Laxou - CPN;;0.9999842658218;54304_0604_00002;1;Rue du Dr Archambault;54520;54304;Laxou;48.6781;6.13817;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;15;18318;2021-05-31 20:00:02.832413;;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;fermé;t;;2021-01-07;https://partners.doctolib.fr/centre-de-vaccinations-internationales/laxou/cpn-laxou?pid=practice-162995&enable_cookies_consent=1;+33383851300;;;;;;;{}
1175;Centre de vaccination  La Bourse de Strasbourg ;;0.99999998942591;67482_4273_00001;1;Place du Maréchal de Lattre de Tassigny;67000;67482;Strasbourg;48.5762;7.75342;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13943;22327;2021-05-31 20:00:03.001999;;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;fermé;t;;2021-01-18;https://partners.doctolib.fr/etablissement-de-prevention/strasbourg/centre-de-vaccination-covid19-de-strasbourg?speciality_id=5494&enable_cookies_consent=1;+33800609090;;;;;f;;"{""Grand centre""}"
145;Salle polyvalente du CHI Fréjus St Raphaël - site Bonnet (Réservé aux professionnels de santé libéraux);;0.99999882318688;83061_1968_00084;240;avenue de Saint Lambert;83600;83061;Fréjus;43.439;6.75333;130007982;8412Z;AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR;132;BD DE PARIS;13003;13203;MARSEILLE 3;10366;19166;2021-05-31 20:00:02.346151;;fermé;10h - 15h;10h - 15h;10h - 15h;10h - 15h;fermé;fermé;t;;2021-01-12;https://partners.doctolib.fr/hopital-public/frejus/chi-de-frejus-saint-raphael?speciality_id=5494&enable_cookies_consent=1;+33494402597;;réservé aux professionnels de santé libéraux;;;;t;"{""Sécurité Civile""}"
960;Bonneville - AGORA;2021-11;0.99999978045935;74042_0020_00588;42;Avenue de la Gare;74130;74042;Bonneville;46.0778;6.41368;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;8140;8097;2021-05-31 20:00:02.846333;Oui;09:00-13:00/14:00-18:00;09:00-13:00/14:00-18:00;09:00-13:00/14:00-18:00;09:00-13:00/14:00-18:00;09:00-13:00/14:00-18:00;fermé;fermé;t;;2021-01-19;https://partners.doctolib.fr/centre-de-sante/bonneville/centre-de-vaccination-agora-bonneville?speciality_id=5494&enable_cookies_consent=1;+33450073249;;;t;;f;f;"{""Séc. Civ. concourant""}"
1282;Lieu de vaccination de CLERMONT EN ARGONNE;;0.99999999208832;55117_0061_00011;11;Rue des Déportés;55120;55117;Clermont-en-Argonne;49.1047;5.0765;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13424;13424;2021-01-27 12:00:02.019016;;14:00-18:00;14:00-18:00;fermé;14:00-18:00;fermé;fermé;fermé;t;;2021-01-25;https://www.maiia.com/centre-de-vaccination/55120-clermont-en-argonne/centre-de-vaccination---clermont-en-argonne;+33372850117;;;;;;;{}
605;Centre de vaccination- Les Champs Blancs;;0.99999890173082;89206_0095_00010;10;Avenue d'Amélia;89300;89206;Joigny;47.9762;3.4256;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;82;82;2021-02-22 11:00:01.717685;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;2021-01-18;https://vaccination-covid.keldoc.com/cabinet-medical/joigny-89300/centre-de-vaccination-les-champs-blanc;0800725089;;;;;;;{}
